Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
2,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,1,2
2,2025-10-10T01:50:00+11:00,2025-10-10,01:50,0,2,2
2,2025-10-10T01:51:00+11:00,2025-10-10,01:51,0,1,1
9,2025-10-10T01:44:00+11:00,2025-10-10,01:44,0,1,1
17,2025-10-10T01:52:00+11:00,2025-10-10,01:52,1,0,1
19,2025-10-10T01:41:00+11:00,2025-10-10,01:41,3,3,6
19,2025-10-10T01:46:00+11:00,2025-10-10,01:46,2,0,2
19,2025-10-10T01:52:00+11:00,2025-10-10,01:52,0,1,1
19,2025-10-10T01:54:00+11:00,2025-10-10,01:54,1,0,1
20,2025-10-10T01:40:00+11:00,2025-10-10,01:40,6,0,6
20,2025-10-10T01:42:00+11:00,2025-10-10,01:42,1,0,1
20,2025-10-10T01:43:00+11:00,2025-10-10,01:43,2,0,2
20,2025-10-10T01:46:00+11:00,2025-10-10,01:46,2,0,2
20,2025-10-10T01:50:00+11:00,2025-10-10,01:50,0,2,2
20,2025-10-10T01:52:00+11:00,2025-10-10,01:52,0,5,5
20,2025-10-10T01:54:00+11:00,2025-10-10,01:54,1,1,2
24,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,0,1
24,2025-10-10T01:47:00+11:00,2025-10-10,01:47,0,4,4
24,2025-10-10T01:48:00+11:00,2025-10-10,01:48,1,0,1
24,2025-10-10T01:49:00+11:00,2025-10-10,01:49,0,1,1
30,2025-10-10T01:41:00+11:00,2025-10-10,01:41,0,1,1
30,2025-10-10T01:42:00+11:00,2025-10-10,01:42,5,0,5
30,2025-10-10T01:49:00+11:00,2025-10-10,01:49,1,0,1
30,2025-10-10T01:50:00+11:00,2025-10-10,01:50,5,1,6
30,2025-10-10T01:52:00+11:00,2025-10-10,01:52,4,0,4
35,2025-10-10T01:46:00+11:00,2025-10-10,01:46,1,0,1
49,2025-10-10T01:43:00+11:00,2025-10-10,01:43,0,2,2
49,2025-10-10T01:47:00+11:00,2025-10-10,01:47,2,2,4
51,2025-10-10T01:46:00+11:00,2025-10-10,01:46,0,1,1
53,2025-10-10T01:54:00+11:00,2025-10-10,01:54,2,0,2
56,2025-10-10T01:44:00+11:00,2025-10-10,01:44,1,1,2
56,2025-10-10T01:51:00+11:00,2025-10-10,01:51,0,1,1
58,2025-10-10T01:48:00+11:00,2025-10-10,01:48,1,0,1
58,2025-10-10T01:49:00+11:00,2025-10-10,01:49,0,1,1
58,2025-10-10T01:52:00+11:00,2025-10-10,01:52,2,1,3
58,2025-10-10T01:53:00+11:00,2025-10-10,01:53,2,0,2
58,2025-10-10T01:54:00+11:00,2025-10-10,01:54,1,0,1
62,2025-10-10T01:40:00+11:00,2025-10-10,01:40,1,1,2
62,2025-10-10T01:46:00+11:00,2025-10-10,01:46,0,1,1
62,2025-10-10T01:50:00+11:00,2025-10-10,01:50,3,1,4
63,2025-10-10T01:44:00+11:00,2025-10-10,01:44,0,1,1
63,2025-10-10T01:54:00+11:00,2025-10-10,01:54,0,3,3
67,2025-10-10T01:44:00+11:00,2025-10-10,01:44,0,1,1
67,2025-10-10T01:49:00+11:00,2025-10-10,01:49,0,1,1
67,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,0,1
72,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,0,1
72,2025-10-10T01:49:00+11:00,2025-10-10,01:49,1,0,1
79,2025-10-10T01:41:00+11:00,2025-10-10,01:41,1,0,1
79,2025-10-10T01:44:00+11:00,2025-10-10,01:44,1,0,1
109,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,1,2
164,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,0,1
3,2025-10-10T02:27:00+11:00,2025-10-10,02:27,2,0,2
3,2025-10-10T02:28:00+11:00,2025-10-10,02:28,4,0,4
3,2025-10-10T02:29:00+11:00,2025-10-10,02:29,0,2,2
3,2025-10-10T02:30:00+11:00,2025-10-10,02:30,0,4,4
3,2025-10-10T02:31:00+11:00,2025-10-10,02:31,0,1,1
3,2025-10-10T02:33:00+11:00,2025-10-10,02:33,1,2,3
3,2025-10-10T02:38:00+11:00,2025-10-10,02:38,5,0,5
4,2025-10-10T02:29:00+11:00,2025-10-10,02:29,1,1,2
4,2025-10-10T02:32:00+11:00,2025-10-10,02:32,0,2,2
4,2025-10-10T02:38:00+11:00,2025-10-10,02:38,2,0,2
5,2025-10-10T02:25:00+11:00,2025-10-10,02:25,2,2,4
28,2025-10-10T02:28:00+11:00,2025-10-10,02:28,0,1,1
28,2025-10-10T02:30:00+11:00,2025-10-10,02:30,1,1,2
36,2025-10-10T02:34:00+11:00,2025-10-10,02:34,1,0,1
36,2025-10-10T02:38:00+11:00,2025-10-10,02:38,0,3,3
37,2025-10-10T02:35:00+11:00,2025-10-10,02:35,1,1,2
41,2025-10-10T02:31:00+11:00,2025-10-10,02:31,0,3,3
41,2025-10-10T02:36:00+11:00,2025-10-10,02:36,2,0,2
47,2025-10-10T02:34:00+11:00,2025-10-10,02:34,1,0,1
61,2025-10-10T02:31:00+11:00,2025-10-10,02:31,0,1,1
61,2025-10-10T02:34:00+11:00,2025-10-10,02:34,0,1,1
66,2025-10-10T02:36:00+11:00,2025-10-10,02:36,1,1,2
66,2025-10-10T02:38:00+11:00,2025-10-10,02:38,2,0,2
66,2025-10-10T02:39:00+11:00,2025-10-10,02:39,5,0,5
84,2025-10-10T02:30:00+11:00,2025-10-10,02:30,1,3,4
107,2025-10-10T02:35:00+11:00,2025-10-10,02:35,1,0,1
108,2025-10-10T02:30:00+11:00,2025-10-10,02:30,1,0,1
133,2025-10-10T02:25:00+11:00,2025-10-10,02:25,0,1,1
134,2025-10-10T02:25:00+11:00,2025-10-10,02:25,2,0,2
134,2025-10-10T02:30:00+11:00,2025-10-10,02:30,3,2,5
135,2025-10-10T02:30:00+11:00,2025-10-10,02:30,1,3,4
143,2025-10-10T02:30:00+11:00,2025-10-10,02:30,1,1,2
162,2025-10-10T02:25:00+11:00,2025-10-10,02:25,1,1,2
167,2025-10-10T02:30:00+11:00,2025-10-10,02:30,0,1,1
181,2025-10-10T02:25:00+11:00,2025-10-10,02:25,1,2,3
181,2025-10-10T02:29:00+11:00,2025-10-10,02:29,1,0,1
181,2025-10-10T02:31:00+11:00,2025-10-10,02:31,1,2,3
181,2025-10-10T02:32:00+11:00,2025-10-10,02:32,0,5,5
181,2025-10-10T02:35:00+11:00,2025-10-10,02:35,1,0,1
181,2025-10-10T02:38:00+11:00,2025-10-10,02:38,0,1,1
182,2025-10-10T02:35:00+11:00,2025-10-10,02:35,2,5,7
184,2025-10-10T02:25:00+11:00,2025-10-10,02:25,0,6,6
185,2025-10-10T02:30:00+11:00,2025-10-10,02:30,2,5,7
1,2025-10-10T02:27:00+11:00,2025-10-10,02:27,0,1,1
1,2025-10-10T02:29:00+11:00,2025-10-10,02:29,3,0,3
1,2025-10-10T02:39:00+11:00,2025-10-10,02:39,1,0,1
2,2025-10-10T02:33:00+11:00,2025-10-10,02:33,0,2,2
2,2025-10-10T02:36:00+11:00,2025-10-10,02:36,1,0,1
