Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2012,57,101217,101217,124-128 Bourke Street MELBOURNE 3000,Melbourne (CBD),Welcome Stranger,"Ground , 124-128 Bourke Street MELBOURNE 3000",350,144.9692644015,-37.81206977063166,"-37.81206977063166, 144.9692644015"
2012,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95449100185,-37.81490505433018,"-37.81490505433018, 144.95449100185"
2012,67,102198,102198,22-26 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Cash Box KTV,"Level 1, 22-26 Corrs Lane MELBOURNE 3000",200,144.96832424768428,-37.8109975337,"-37.8109975337, 144.96832424768428"
2012,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),Chez Regine,"Ground , 270 Russell Street MELBOURNE 3000",90,144.96716401059058,-37.8101105754,"-37.8101105754, 144.96716401059058"
2012,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Equinox Bar Restaurant,"Shop 8, Ground , 300 La Trobe Street MELBOURNE 3000",80,144.96283887074458,-37.81090174735,"-37.81090174735, 144.96283887074458"
2012,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mui Karaoke,"Level 2, 258 Swanston Street MELBOURNE 3000",243,144.96435885063997,-37.811431832699995,"-37.811431832699995, 144.96435885063997"
2012,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Fluid Oz Bar,Part 450 Elizabeth Street MELBOURNE 3000,365,144.9608587222369,-37.80830805785,"-37.80830805785, 144.9608587222369"
2012,260,103272,103272,642-644 Elizabeth Street MELBOURNE 3000,Carlton,City Mic Bar Karaoke,642-644 Elizabeth Street MELBOURNE 3000,70,144.95861439882248,-37.80328698255,"-37.80328698255, 144.95861439882248"
2012,760,108642,108642,497-503 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Rok's Cafe,"Part Ground , 499 St Kilda Road MELBOURNE 3004",150,144.97907654071025,-37.84331752205,"-37.84331752205, 144.97907654071025"
2012,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,The Atlantic,"Shop 18, Ground , 8 Whiteman Street SOUTHBANK 3006",508,144.9583355828234,-37.82316159535,"-37.82316159535, 144.9583355828234"
2012,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Ground , 140 Harbour Esplanade DOCKLANDS 3008",500,144.94756024115154,-37.816741978500005,"-37.816741978500005, 144.94756024115154"
2012,1109,601809,593728,425-427 Docklands Drive DOCKLANDS 3008,Docklands,BCM Bar & Balcony,"Shop 120, Part Level 1, 425-427 Docklands Drive DOCKLANDS 3008",350,144.93930627056113,-37.81523711805,"-37.81523711805, 144.93930627056113"
2013,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Dreams Gentlemen's Club,288 Elizabeth Street MELBOURNE 3000,160,144.96460797480603,-37.8180566348,"-37.8180566348, 144.96460797480603"
2013,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Joint,"Level 1, 35-39 Elizabeth Street MELBOURNE 3000",329,144.96433442319747,-37.81742176045,"-37.81742176045, 144.96433442319747"
2013,27,541562,102071,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),RU-CO,"Part UprGround , 121-131 Collins Street MELBOURNE 3000",400,144.9698079667972,-37.81511565165,"-37.81511565165, 144.9698079667972"
2013,43,108068,108068,111-129 Queen Street MELBOURNE 3000,Melbourne (CBD),Blue Diamond,"Level 15, 123 Queen Street MELBOURNE 3000",200,144.96063605148169,-37.81581228795,"-37.81581228795, 144.96063605148169"
2013,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),Imperial Hotel,2-8 Bourke Street MELBOURNE 3000,300,144.9726756216,-37.81120076789737,"-37.81120076789737, 144.9726756216"
2013,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),M.O.O.,"Basement , 318 Little Bourke Street MELBOURNE 3000",200,144.96312748625002,-37.81292588925007,"-37.81292588925007, 144.96312748625002"
2013,66,109952,109952,7-9 Waratah Place MELBOURNE 3000,Melbourne (CBD),Manchuria,"Level 1, 7-9 Waratah Place MELBOURNE 3000",80,144.96699031789075,-37.8116248871,"-37.8116248871, 144.96699031789075"
2013,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Percys Bar & Bistro,414-422 Lygon Street CARLTON 3053,120,144.96781235255,-37.79694533827049,"-37.79694533827049, 144.96781235255"
2013,375,103810,103810,5-17 Flemington Road NORTH MELBOURNE 3051,North Melbourne,RMIT Village Old Melbourne,5-17 Flemington Road NORTH MELBOURNE 3051,356,144.9558469108,-37.801435967312926,"-37.801435967312926, 144.9558469108"
2013,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Velvet Bar,8 Whiteman Street SOUTHBANK 3006,100,144.9583355827695,-37.8231615951,"-37.8231615951, 144.9583355827695"
2013,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Number 8,"Shop 11, Ground , 8 Whiteman Street SOUTHBANK 3006",40,144.9583355827695,-37.8231615951,"-37.8231615951, 144.9583355827695"
2014,13,106435,106435,21-31 Market Street MELBOURNE 3000,Melbourne (CBD),The Trust,"Unit 1, 29 Market Street MELBOURNE 3000",350,144.9604204291805,-37.8186455754,"-37.8186455754, 144.9604204291805"
2014,17,103926,103926,125-127 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Gogo,"Basement , 125 Flinders Lane MELBOURNE 3000",300,144.97039992735,-37.81568919542343,"-37.81568919542343, 144.97039992735"
2014,42,105392,105392,120-138 King Street MELBOURNE 3000,Melbourne (CBD),The Exchange Hotel,"Ground , 120 King Street MELBOURNE 3000",995,144.95640730194998,-37.81703244702087,"-37.81703244702087, 144.95640730194998"
2014,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.9675811687,-37.81390744936704,"-37.81390744936704, 144.9675811687"
